scientificName,decimalLatitude,decimalLongitude,eventDate,datasetKey
"Dendrocopos major (Linnaeus, 1758)",52.865446,-2.314498,2024-04-26T17:51:13,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Fringilla coelebs Linnaeus, 1758",52.814635,-2.317728,2024-04-26T15:02:06,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Erithacus rubecula (Linnaeus, 1758)",52.814635,-2.317728,2024-04-26T15:35:33,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Anas platyrhynchos Linnaeus, 1758",52.814635,-2.317728,2024-04-26T15:52:44,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Aix galericulata (Linnaeus, 1758)",52.814635,-2.317728,2024-04-26T15:52:44,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Branta canadensis (Linnaeus, 1758)",52.814635,-2.317728,2024-04-26T15:53:38,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Dendrocopos major (Linnaeus, 1758)",52.778948,-2.327341,2024-04-27T16:16,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Pica pica (Linnaeus, 1758)",52.66461,-2.378481,2024-04-13,bd552593-f9c8-4b54-8887-fb00b647c6f9
"Cygnus olor (J.F.Gmelin, 1789)",52.670394,-2.372528,2024-04-05,8a863029-f435-446a-821e-275f4f641165
"Cygnus olor (J.F.Gmelin, 1789)",52.670394,-2.372528,2024-04-05,8a863029-f435-446a-821e-275f4f641165
"Erithacus rubecula (Linnaeus, 1758)",52.66461,-2.378481,2024-04-13,bd552593-f9c8-4b54-8887-fb00b647c6f9
"Turdus merula Linnaeus, 1758",52.66461,-2.378481,2024-04-13,bd552593-f9c8-4b54-8887-fb00b647c6f9
"Corvus frugilegus Linnaeus, 1758",52.66461,-2.378481,2024-04-13,bd552593-f9c8-4b54-8887-fb00b647c6f9
"Columba palumbus Linnaeus, 1758",52.66461,-2.378481,2024-04-13,bd552593-f9c8-4b54-8887-fb00b647c6f9
"Troglodytes troglodytes (Linnaeus, 1758)",52.66461,-2.378481,2024-04-13,bd552593-f9c8-4b54-8887-fb00b647c6f9
"Anas platyrhynchos Linnaeus, 1758",52.66461,-2.378481,2024-04-13,bd552593-f9c8-4b54-8887-fb00b647c6f9
"Cuculus canorus Linnaeus, 1758",52.798892,-2.619179,2024-05-05,84f58d09-add5-469b-af6e-f3522a8dac7d
"Phylloscopus collybita (Vieillot, 1817)",52.668392,-2.260345,2024-05-04T17:48:15,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Passer domesticus (Linnaeus, 1758)",52.772888,-2.368627,2024-05-05T21:58:25,50c9509d-22c7-4a22-a47d-8c48425ef4a7
